    Finished `release` profile [optimized] target(s) in 0.03s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 21572 Sekunden (5.99 h)
VmRSS Start: 2104 kB

[ 8160.0s]     42793094 Runden |    5319/s (Ø    5244/s) | Fehler 0 | Tamper 0/10448 | RSS 2104 kB
[ 8220.0s]     43109772 Runden |    5278/s (Ø    5244/s) | Fehler 0 | Tamper 0/10525 | RSS 2104 kB
[ 8280.0s]     43427068 Runden |    5288/s (Ø    5245/s) | Fehler 0 | Tamper 0/10603 | RSS 2104 kB
[ 8340.0s]     43744973 Runden |    5298/s (Ø    5245/s) | Fehler 0 | Tamper 0/10680 | RSS 2104 kB
[ 8400.0s]     44065157 Runden |    5336/s (Ø    5246/s) | Fehler 0 | Tamper 0/10759 | RSS 2104 kB
[ 8460.0s]     44384305 Runden |    5319/s (Ø    5246/s) | Fehler 0 | Tamper 0/10837 | RSS 2104 kB
[ 8520.0s]     44698583 Runden |    5238/s (Ø    5246/s) | Fehler 0 | Tamper 0/10913 | RSS 2104 kB
[ 8580.0s]     45016722 Runden |    5302/s (Ø    5247/s) | Fehler 0 | Tamper 0/10991 | RSS 2104 kB
[ 8640.0s]     45329034 Runden |    5205/s (Ø    5246/s) | Fehler 0 | Tamper 0/11067 | RSS 2104 kB
[ 8700.0s]     45643016 Runden |    5233/s (Ø    5246/s) | Fehler 0 | Tamper 0/11144 | RSS 2104 kB
[ 8760.0s]     45958008 Runden |    5250/s (Ø    5246/s) | Fehler 0 | Tamper 0/11221 | RSS 2104 kB
[ 8820.0s]     46264791 Runden |    5113/s (Ø    5245/s) | Fehler 0 | Tamper 0/11296 | RSS 2104 kB
[ 8880.0s]     46576567 Runden |    5196/s (Ø    5245/s) | Fehler 0 | Tamper 0/11372 | RSS 2104 kB
[ 8940.0s]     46892287 Runden |    5262/s (Ø    5245/s) | Fehler 0 | Tamper 0/11449 | RSS 2104 kB
[ 9000.0s]     47209663 Runden |    5290/s (Ø    5245/s) | Fehler 0 | Tamper 0/11526 | RSS 2104 kB
[ 9060.0s]     47524235 Runden |    5243/s (Ø    5245/s) | Fehler 0 | Tamper 0/11603 | RSS 2104 kB
[ 9120.0s]     47840518 Runden |    5271/s (Ø    5246/s) | Fehler 0 | Tamper 0/11680 | RSS 2104 kB
[ 9180.0s]     48159167 Runden |    5311/s (Ø    5246/s) | Fehler 0 | Tamper 0/11758 | RSS 2104 kB
[ 9240.0s]     48476860 Runden |    5295/s (Ø    5246/s) | Fehler 0 | Tamper 0/11836 | RSS 2104 kB
[ 9300.0s]     48790865 Runden |    5233/s (Ø    5246/s) | Fehler 0 | Tamper 0/11912 | RSS 2104 kB
[ 9360.0s]     49104527 Runden |    5228/s (Ø    5246/s) | Fehler 0 | Tamper 0/11989 | RSS 2104 kB
[ 9420.0s]     49417368 Runden |    5214/s (Ø    5246/s) | Fehler 0 | Tamper 0/12065 | RSS 2104 kB
[ 9480.0s]     49730917 Runden |    5226/s (Ø    5246/s) | Fehler 0 | Tamper 0/12142 | RSS 2104 kB
[ 9540.0s]     50048926 Runden |    5300/s (Ø    5246/s) | Fehler 0 | Tamper 0/12219 | RSS 2104 kB
[ 9600.0s]     50366891 Runden |    5299/s (Ø    5247/s) | Fehler 0 | Tamper 0/12297 | RSS 2104 kB
