    Finished `release` profile [optimized] target(s) in 0.02s
     Running `target/release/examples/soak`
Pre-flight self-test: OK
Modus: 28800 Sekunden (8.00 h)
VmRSS Start: 2120 kB

[ 6180.0s]     32345487 Runden |    5100/s (Ø    5234/s) | Fehler 0 | Tamper 0/7897 | RSS 2120 kB
[ 6240.0s]     32661637 Runden |    5269/s (Ø    5234/s) | Fehler 0 | Tamper 0/7975 | RSS 2120 kB
[ 6300.0s]     32975316 Runden |    5228/s (Ø    5234/s) | Fehler 0 | Tamper 0/8051 | RSS 2120 kB
[ 6360.0s]     33292950 Runden |    5294/s (Ø    5235/s) | Fehler 0 | Tamper 0/8129 | RSS 2120 kB
[ 6420.0s]     33603956 Runden |    5183/s (Ø    5234/s) | Fehler 0 | Tamper 0/8205 | RSS 2120 kB
[ 6480.0s]     33916431 Runden |    5208/s (Ø    5234/s) | Fehler 0 | Tamper 0/8281 | RSS 2120 kB
[ 6540.0s]     34230637 Runden |    5237/s (Ø    5234/s) | Fehler 0 | Tamper 0/8358 | RSS 2120 kB
[ 6600.0s]     34547170 Runden |    5276/s (Ø    5234/s) | Fehler 0 | Tamper 0/8435 | RSS 2120 kB
[ 6660.0s]     34864573 Runden |    5290/s (Ø    5235/s) | Fehler 0 | Tamper 0/8512 | RSS 2120 kB
[ 6720.0s]     35180312 Runden |    5262/s (Ø    5235/s) | Fehler 0 | Tamper 0/8589 | RSS 2120 kB
[ 6780.0s]     35493799 Runden |    5225/s (Ø    5235/s) | Fehler 0 | Tamper 0/8666 | RSS 2120 kB
[ 6840.0s]     35809865 Runden |    5268/s (Ø    5235/s) | Fehler 0 | Tamper 0/8743 | RSS 2120 kB
[ 6900.0s]     36126602 Runden |    5279/s (Ø    5236/s) | Fehler 0 | Tamper 0/8820 | RSS 2120 kB
[ 6960.0s]     36443403 Runden |    5280/s (Ø    5236/s) | Fehler 0 | Tamper 0/8898 | RSS 2120 kB
[ 7020.0s]     36760520 Runden |    5285/s (Ø    5237/s) | Fehler 0 | Tamper 0/8975 | RSS 2120 kB
[ 7080.0s]     37067457 Runden |    5116/s (Ø    5235/s) | Fehler 0 | Tamper 0/9050 | RSS 2120 kB
[ 7140.0s]     37383572 Runden |    5269/s (Ø    5236/s) | Fehler 0 | Tamper 0/9127 | RSS 2120 kB
[ 7200.0s]     37697732 Runden |    5236/s (Ø    5236/s) | Fehler 0 | Tamper 0/9204 | RSS 2120 kB
[ 7260.0s]     38014347 Runden |    5277/s (Ø    5236/s) | Fehler 0 | Tamper 0/9281 | RSS 2120 kB
[ 7320.0s]     38333173 Runden |    5314/s (Ø    5237/s) | Fehler 0 | Tamper 0/9359 | RSS 2120 kB
[ 7380.0s]     38646006 Runden |    5214/s (Ø    5237/s) | Fehler 0 | Tamper 0/9436 | RSS 2120 kB
[ 7440.0s]     38962150 Runden |    5269/s (Ø    5237/s) | Fehler 0 | Tamper 0/9513 | RSS 2120 kB
[ 7500.0s]     39273091 Runden |    5182/s (Ø    5236/s) | Fehler 0 | Tamper 0/9589 | RSS 2120 kB
[ 7560.0s]     39588457 Runden |    5256/s (Ø    5237/s) | Fehler 0 | Tamper 0/9666 | RSS 2120 kB
[ 7620.0s]     39905693 Runden |    5287/s (Ø    5237/s) | Fehler 0 | Tamper 0/9743 | RSS 2120 kB
[ 7680.0s]     40217398 Runden |    5195/s (Ø    5237/s) | Fehler 0 | Tamper 0/9819 | RSS 2120 kB
[ 7740.0s]     40533617 Runden |    5270/s (Ø    5237/s) | Fehler 0 | Tamper 0/9896 | RSS 2120 kB
[ 7800.0s]     40845663 Runden |    5201/s (Ø    5237/s) | Fehler 0 | Tamper 0/9973 | RSS 2120 kB
[ 7860.0s]     41162573 Runden |    5282/s (Ø    5237/s) | Fehler 0 | Tamper 0/10050 | RSS 2120 kB
[ 7920.0s]     41479298 Runden |    5279/s (Ø    5237/s) | Fehler 0 | Tamper 0/10127 | RSS 2120 kB
[ 7980.0s]     41787579 Runden |    5138/s (Ø    5237/s) | Fehler 0 | Tamper 0/10203 | RSS 2120 kB
[ 8040.0s]     42102439 Runden |    5248/s (Ø    5237/s) | Fehler 0 | Tamper 0/10279 | RSS 2120 kB
[ 8100.0s]     42417316 Runden |    5248/s (Ø    5237/s) | Fehler 0 | Tamper 0/10356 | RSS 2120 kB
[ 8160.0s]     42736320 Runden |    5317/s (Ø    5237/s) | Fehler 0 | Tamper 0/10434 | RSS 2120 kB
[ 8220.0s]     43052932 Runden |    5277/s (Ø    5238/s) | Fehler 0 | Tamper 0/10511 | RSS 2120 kB
[ 8280.0s]     43368690 Runden |    5263/s (Ø    5238/s) | Fehler 0 | Tamper 0/10589 | RSS 2120 kB
[ 8340.0s]     43682627 Runden |    5232/s (Ø    5238/s) | Fehler 0 | Tamper 0/10665 | RSS 2120 kB
[ 8400.0s]     44002879 Runden |    5338/s (Ø    5238/s) | Fehler 0 | Tamper 0/10743 | RSS 2120 kB
[ 8460.0s]     44321497 Runden |    5310/s (Ø    5239/s) | Fehler 0 | Tamper 0/10821 | RSS 2120 kB
[ 8520.0s]     44636081 Runden |    5243/s (Ø    5239/s) | Fehler 0 | Tamper 0/10898 | RSS 2120 kB
